pkg_name	role	band
@abp/bootstrap-datepicker	control	10K-100K
@abp/core	control	10K-100K
@accordproject/concerto-core	control	10K-100K
@actions/core	control	1M+
@actions/github	control	1M+
@actions/http-client	control	1M+
@aduh95/viz.js	control	1M+
@ag-grid-community/angular	control	100K-1M
@ag-grid-enterprise/clipboard	control	100K-1M
@ag-grid-enterprise/excel-export	control	100K-1M
@airgap/beacon-ui	control	10K-100K
@algolia/autocomplete-core	control	1M+
@algolia/client-common	control	1M+
@algolia/client-search	control	1M+
@algolia/logger-console	control	1M+
@algolia/transporter	control	1M+
@alilc/lowcode-renderer-core	control	1K-10K
@amplitude/eslint-config-typescript	control	10K-100K
@amplitude/ua-parser-js	control	1M+
@analytics/type-utils	control	100K-1M
@anchan828/nest-storage	control	1K-10K
@anchan828/nest-storage-s3	control	1K-10K
@angular-builders/custom-webpack	control	1M+
@angular-devkit/core	control	1M+
@angular-eslint/eslint-plugin	control	1M+
@angular-eslint/schematics	control	1M+
@angular-eslint/template-parser	control	1M+
@angular-slider/ngx-slider	control	100K-1M
@angular/animations	control	1M+
@angular/cdk	control	1M+
@angular/localize	control	1M+
@angular/platform-browser	control	1M+
@angular/router	control	1M+
@antora/ui-loader	control	10K-100K
@apollo/subgraph	control	1M+
@apollo/utils.printwithreducedwhitespace	control	1M+
@apollo/utils.sortast	control	1M+
@applitools/utils	control	1M+
@architect/logs	control	10K-100K
@arconnect/components	control	1K-10K
@ardatan/relay-compiler	control	1M+
@atlaskit/page-layout	control	10K-100K
@atlassian/aui	control	100K-1M
@atomicfinance/bitcoin-wallet-provider	control	1K-10K
@awesome-cordova-plugins/app-availability	control	10K-100K
@awesome-cordova-plugins/core	control	100K-1M
@awesome-cordova-plugins/open-native-settings	control	10K-100K
@aws-amplify/amplify-category-custom	control	100K-1M
@aws-amplify/cache	control	1M+
@aws-amplify/codegen-ui	control	10K-100K
@aws-amplify/storage	control	1M+
@aws-cdk/aws-acmpca	control	1M+
@aws-cdk/aws-appmesh	control	10K-100K
@aws-cdk/aws-codepipeline	control	1M+
@aws-cdk/aws-dynamodb	control	1M+
@aws-cdk/aws-ec2	control	1M+
@aws-cdk/aws-ecs	control	1M+
@aws-cdk/aws-elasticloadbalancingv2	control	1M+
@aws-cdk/aws-elasticloadbalancingv2-targets	control	100K-1M
@aws-cdk/aws-emrserverless	control	10K-100K
@aws-cdk/aws-events	control	1M+
@aws-cdk/aws-kinesis	control	1M+
@aws-cdk/aws-route53	control	1M+
@aws-cdk/aws-sqs	control	1M+
@aws-cdk/lambda-layer-kubectl	control	100K-1M
@aws-crypto/crc32	control	1M+
@aws-sdk/client-cloudwatch-events	control	10K-100K
@aws-sdk/client-comprehend	control	1M+
@aws-sdk/client-elastic-beanstalk	control	10K-100K
@aws-sdk/client-organizations	control	100K-1M
@aws-sdk/client-secrets-manager	control	1M+
@aws-sdk/client-transfer	control	10K-100K
@aws-sdk/client-translate	control	1M+
@aws-sdk/credential-provider-imds	control	1M+
@aws-sdk/credential-provider-node	control	1M+
@aws-sdk/endpoint-cache	control	1M+
@aws-sdk/eventstream-marshaller	control	1M+
@aws-sdk/hash-node	control	1M+
@aws-sdk/is-array-buffer	control	1M+
@aws-sdk/lib-storage	control	1M+
@aws-sdk/middleware-sdk-route53	control	100K-1M
@aws-sdk/middleware-sdk-s3	control	1M+
@aws-sdk/middleware-sdk-sts	control	1M+
@aws-sdk/middleware-stack	control	1M+
@aws-sdk/middleware-user-agent	control	1M+
@aws-sdk/protocol-http	control	1M+
@aws-sdk/shared-ini-file-loader	control	1M+
@aws-sdk/types	control	1M+
@aws-sdk/util-stream-node	control	1M+
@axa-fr/react-oidc	control	10K-100K
@axinom/mosaic-ui	control	1K-10K
@ayuskey/xev	control	1K-10K
@azure/core-amqp	control	100K-1M
@azure/core-client	control	1M+
@azure/core-xml	control	100K-1M
@azure/keyvault-keys	control	1M+
@azure/msal-angular	control	100K-1M
@babel/helper-builder-binary-assignment-operator-visitor	control	1M+
@babel/helper-optimise-call-expression	control	1M+
@babel/helper-split-export-declaration	control	1M+
@babel/helper-validator-option	control	1M+
@babel/node	control	1M+
@babel/parser	control	1M+
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression	control	1M+
@babel/plugin-proposal-async-generator-functions	control	1M+
@babel/plugin-proposal-class-properties	control	1M+
@babel/plugin-proposal-export-default-from	control	1M+
@babel/plugin-proposal-logical-assignment-operators	control	1M+
@babel/plugin-proposal-numeric-separator	control	1M+
@babel/plugin-transform-computed-properties	control	1M+
@babel/plugin-transform-destructuring	control	1M+
@babel/plugin-transform-flow-strip-types	control	1M+
@babel/plugin-transform-react-jsx-source	control	1M+
@babel/plugin-transform-reserved-words	control	1M+
@babel/preset-env	control	1M+
@backstage/config-loader	control	100K-1M
@backstage/plugin-catalog-common	control	100K-1M
@backstage/plugin-catalog-react	control	10K-100K
@barchart/common-js	control	1K-10K
@based/client	control	10K-100K
@bazel/jasmine	control	100K-1M
@bazel/rollup	control	1M+
@bentoproject/list	control	1K-10K
@berkeleylibrary/galc-ui	control	1K-10K
@better-scroll/observe-image	control	10K-100K
@bitgo/sdk-api	control	1K-10K
@bloks/constants	control	1K-10K
@blueprintjs/icons	control	100K-1M
@borderfreefinancial/dev-revo-json-consumer-sdk	control	1K-10K
@bosonprotocol/common	control	1K-10K
@brandingbrand/fslinker	control	10K-100K
@brightspace-ui-labs/multi-select	control	1K-10K
@bugsnag/browser	control	1M+
@bugsnag/core	control	1M+
@bugsnag/js	control	1M+
@builder.io/widgets	control	10K-100K
